midi_file,instrument,note_pitch,start_time,end_time,duration,velocity
ABBA_-_Dancing_Queen.mid,0,42,2.39044,2.4091153125,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,42,2.98805,3.0067253124999995,0.018675312499999652,75
ABBA_-_Dancing_Queen.mid,0,42,3.58566,3.6043353124999995,0.018675312499999652,75
ABBA_-_Dancing_Queen.mid,0,42,4.183269999999999,4.2019453124999995,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,42,4.78088,4.7995553125,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,42,5.378489999999999,5.397165312499999,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,42,5.9761,5.9947753125,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,42,6.573709999999999,6.592385312499999,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,69,7.17132,7.1899953125,0.018675312500000096,32
ABBA_-_Dancing_Queen.mid,0,42,7.17132,7.1899953125,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,35,7.17132,7.1899953125,0.018675312500000096,88
ABBA_-_Dancing_Queen.mid,0,69,7.3393978125,7.358073125,0.018675312500000096,23
ABBA_-_Dancing_Queen.mid,0,69,7.4701249999999995,7.4888003125,0.018675312500000096,59
ABBA_-_Dancing_Queen.mid,0,46,7.4701249999999995,7.4888003125,0.018675312500000096,46
ABBA_-_Dancing_Queen.mid,0,69,7.638202812499999,7.6568781249999995,0.018675312500000096,44
ABBA_-_Dancing_Queen.mid,0,69,7.768929999999999,7.787605312499999,0.018675312500000096,32
ABBA_-_Dancing_Queen.mid,0,40,7.768929999999999,7.787605312499999,0.018675312500000096,88
ABBA_-_Dancing_Queen.mid,0,42,7.768929999999999,7.787605312499999,0.018675312500000096,75
ABBA_-_Dancing_Queen.mid,0,69,7.937007812499999,7.955683124999999,0.018675312500000096,23
ABBA_-_Dancing_Queen.mid,0,69,8.067734999999999,8.0864103125,0.018675312500000985,59
ABBA_-_Dancing_Queen.mid,0,46,8.067734999999999,8.0864103125,0.018675312500000985,46
ABBA_-_Dancing_Queen.mid,0,69,8.235812812499999,8.254488125,0.018675312500000985,44
ABBA_-_Dancing_Queen.mid,0,69,8.366539999999999,8.3852153125,0.018675312500000985,32
ABBA_-_Dancing_Queen.mid,0,42,8.366539999999999,8.3852153125,0.018675312500000985,75
ABBA_-_Dancing_Queen.mid,0,35,8.366539999999999,8.3852153125,0.018675312500000985,88
ABBA_-_Dancing_Queen.mid,0,69,8.534617812499999,8.553293125,0.018675312500000985,23
ABBA_-_Dancing_Queen.mid,0,69,8.665344999999999,8.6840203125,0.018675312500000985,59
ABBA_-_Dancing_Queen.mid,0,46,8.665344999999999,8.6840203125,0.018675312500000985,46
ABBA_-_Dancing_Queen.mid,0,69,8.833422812499998,8.852098125,0.018675312500000985,44
ABBA_-_Dancing_Queen.mid,0,40,8.96415,8.9828253125,0.018675312499999208,88
ABBA_-_Dancing_Queen.mid,0,69,8.96415,8.9828253125,0.018675312499999208,32
ABBA_-_Dancing_Queen.mid,0,42,8.96415,8.9828253125,0.018675312499999208,75
ABBA_-_Dancing_Queen.mid,0,69,9.1322278125,9.150903125,0.018675312499999208,23
ABBA_-_Dancing_Queen.mid,0,69,9.262955,9.281630312499999,0.018675312499999208,59
ABBA_-_Dancing_Queen.mid,0,46,9.262955,9.281630312499999,0.018675312499999208,46
ABBA_-_Dancing_Queen.mid,0,69,9.4310328125,9.449708124999999,0.018675312499999208,44
ABBA_-_Dancing_Queen.mid,0,69,9.56176,9.580435312499999,0.018675312499999208,32
ABBA_-_Dancing_Queen.mid,0,42,9.56176,9.580435312499999,0.018675312499999208,75
ABBA_-_Dancing_Queen.mid,0,35,9.56176,9.580435312499999,0.018675312499999208,88
ABBA_-_Dancing_Queen.mid,0,69,9.7298378125,9.748513124999999,0.018675312499999208,23
ABBA_-_Dancing_Queen.mid,0,69,9.860565,9.879240312499999,0.018675312499999208,59
ABBA_-_Dancing_Queen.mid,0,46,9.860565,9.879240312499999,0.018675312499999208,46
ABBA_-_Dancing_Queen.mid,0,69,10.0286428125,10.047318124999999,0.018675312499999208,44
ABBA_-_Dancing_Queen.mid,0,40,10.15937,10.178045312499998,0.018675312499999208,88
ABBA_-_Dancing_Queen.mid,0,69,10.15937,10.178045312499998,0.018675312499999208,32
ABBA_-_Dancing_Queen.mid,0,42,10.15937,10.178045312499998,0.018675312499999208,75
ABBA_-_Dancing_Queen.mid,0,69,10.327447812499999,10.346123124999998,0.018675312499999208,23
ABBA_-_Dancing_Queen.mid,0,69,10.458174999999999,10.4768503125,0.018675312500000985,59
ABBA_-_Dancing_Queen.mid,0,46,10.458174999999999,10.4768503125,0.018675312500000985,46
ABBA_-_Dancing_Queen.mid,0,69,10.626252812499999,10.644928125,0.018675312500000985,44
ABBA_-_Dancing_Queen.mid,0,69,10.756979999999999,10.7756553125,0.018675312500000985,32
ABBA_-_Dancing_Queen.mid,0,42,10.756979999999999,10.7756553125,0.018675312500000985,75
ABBA_-_Dancing_Queen.mid,0,35,10.756979999999999,10.7756553125,0.018675312500000985,88
ABBA_-_Dancing_Queen.mid,0,69,10.925057812499999,10.943733125,0.018675312500000985,23
ABBA_-_Dancing_Queen.mid,0,40,10.925057812499999,10.943733125,0.018675312500000985,88
ABBA_-_Dancing_Queen.mid,0,69,11.055784999999998,11.0744603125,0.018675312500000985,59
ABBA_-_Dancing_Queen.mid,0,46,11.055784999999998,11.0744603125,0.018675312500000985,46
